"user_id","course_id","course_title","category_type","description","duration","rating","About_Course"
1,1,Belajar Pemrograman PHP Dasar,Informatika,Pemrograman PHP adalah bahasa pemrograman server-side yang digunakan untuk pengembangan web.,"00:01:00","20",Kursus ini mengajarkan dasar-dasar pemrograman PHP.
1,1,Belajar Pemrograman PHP Dasar,Informatika,Pemrograman PHP adalah bahasa pemrograman server-side yang digunakan untuk pengembangan web.,"00:01:00","40",Kursus ini mengajarkan dasar-dasar pemrograman PHP.
6,1,Belajar Pemrograman PHP Dasar,Informatika,Pemrograman PHP adalah bahasa pemrograman server-side yang digunakan untuk pengembangan web.,"00:01:00","20",Kursus ini mengajarkan dasar-dasar pemrograman PHP.
13,1,Belajar Pemrograman PHP Dasar,Informatika,Pemrograman PHP adalah bahasa pemrograman server-side yang digunakan untuk pengembangan web.,"00:01:00","80",Kursus ini mengajarkan dasar-dasar pemrograman PHP.
9,1,Belajar Pemrograman PHP Dasar,Informatika,Pemrograman PHP adalah bahasa pemrograman server-side yang digunakan untuk pengembangan web.,"00:01:00","60",Kursus ini mengajarkan dasar-dasar pemrograman PHP.
2,2,Struktur Bangunan untuk Pemula,Sipil,Struktur Bangunan adalah cabang ilmu teknik sipil yang mempelajari tentang konstruksi bangunan.,"00:01:00","60",Kursus ini mengajarkan dasar-dasar struktur bangunan.
2,2,Struktur Bangunan untuk Pemula,Sipil,Struktur Bangunan adalah cabang ilmu teknik sipil yang mempelajari tentang konstruksi bangunan.,"00:01:00","80",Kursus ini mengajarkan dasar-dasar struktur bangunan.
5,2,Struktur Bangunan untuk Pemula,Sipil,Struktur Bangunan adalah cabang ilmu teknik sipil yang mempelajari tentang konstruksi bangunan.,"00:01:00","40",Kursus ini mengajarkan dasar-dasar struktur bangunan.
14,2,Struktur Bangunan untuk Pemula,Sipil,Struktur Bangunan adalah cabang ilmu teknik sipil yang mempelajari tentang konstruksi bangunan.,"00:01:00","100",Kursus ini mengajarkan dasar-dasar struktur bangunan.
3,3,Dasar-Dasar Mesin Otomotif,Mesin,Mesin Otomotif adalah cabang teknik mesin yang mempelajari tentang mesin kendaraan bermotor.,"00:01:00","100",Kursus ini mengajarkan dasar-dasar mesin otomotif.
3,3,Dasar-Dasar Mesin Otomotif,Mesin,Mesin Otomotif adalah cabang teknik mesin yang mempelajari tentang mesin kendaraan bermotor.,"00:01:00","80",Kursus ini mengajarkan dasar-dasar mesin otomotif.
6,3,Dasar-Dasar Mesin Otomotif,Mesin,Mesin Otomotif adalah cabang teknik mesin yang mempelajari tentang mesin kendaraan bermotor.,"00:01:00","40",Kursus ini mengajarkan dasar-dasar mesin otomotif.
14,3,Dasar-Dasar Mesin Otomotif,Mesin,Mesin Otomotif adalah cabang teknik mesin yang mempelajari tentang mesin kendaraan bermotor.,"00:01:00","80",Kursus ini mengajarkan dasar-dasar mesin otomotif.
4,4,Jaringan Komputer Lanjutan,Informatika,Jaringan Komputer adalah sistem telekomunikasi yang memungkinkan komputer untuk saling berkomunikasi.,"00:01:00","60",Kursus ini mengajarkan jaringan komputer tingkat lanjut.
4,4,Jaringan Komputer Lanjutan,Informatika,Jaringan Komputer adalah sistem telekomunikasi yang memungkinkan komputer untuk saling berkomunikasi.,"00:01:00","40",Kursus ini mengajarkan jaringan komputer tingkat lanjut.
5,4,Jaringan Komputer Lanjutan,Informatika,Jaringan Komputer adalah sistem telekomunikasi yang memungkinkan komputer untuk saling berkomunikasi.,"00:01:00","60",Kursus ini mengajarkan jaringan komputer tingkat lanjut.
15,4,Jaringan Komputer Lanjutan,Informatika,Jaringan Komputer adalah sistem telekomunikasi yang memungkinkan komputer untuk saling berkomunikasi.,"00:01:00","60",Kursus ini mengajarkan jaringan komputer tingkat lanjut.
5,5,Teknik Pengelasan untuk Pemula,Mesin,Teknik Pengelasan adalah teknik dalam teknik mesin yang mempelajari proses penyambungan logam.,"00:01:00","20",Kursus ini mengajarkan dasar-dasar teknik pengelasan.
5,5,Teknik Pengelasan untuk Pemula,Mesin,Teknik Pengelasan adalah teknik dalam teknik mesin yang mempelajari proses penyambungan logam.,"00:01:00","40",Kursus ini mengajarkan dasar-dasar teknik pengelasan.
7,5,Teknik Pengelasan untuk Pemula,Mesin,Teknik Pengelasan adalah teknik dalam teknik mesin yang mempelajari proses penyambungan logam.,"00:01:00","60",Kursus ini mengajarkan dasar-dasar teknik pengelasan.
15,5,Teknik Pengelasan untuk Pemula,Mesin,Teknik Pengelasan adalah teknik dalam teknik mesin yang mempelajari proses penyambungan logam.,"00:01:00","40",Kursus ini mengajarkan dasar-dasar teknik pengelasan.
17,5,Teknik Pengelasan untuk Pemula,Mesin,Teknik Pengelasan adalah teknik dalam teknik mesin yang mempelajari proses penyambungan logam.,"00:01:00","80",Kursus ini mengajarkan dasar-dasar teknik pengelasan.
9,5,Teknik Pengelasan untuk Pemula,Mesin,Teknik Pengelasan adalah teknik dalam teknik mesin yang mempelajari proses penyambungan logam.,"00:01:00","40",Kursus ini mengajarkan dasar-dasar teknik pengelasan.
6,6,Teknik Jalan Raya,Sipil,"Teknik Jalan Raya adalah cabang teknik sipil yang mempelajari perencanaan, pembangunan, dan pemeliharaan jalan raya.","00:01:00","60",Kursus ini mengajarkan teknik dasar jalan raya.
6,6,Teknik Jalan Raya,Sipil,"Teknik Jalan Raya adalah cabang teknik sipil yang mempelajari perencanaan, pembangunan, dan pemeliharaan jalan raya.","00:01:00","80",Kursus ini mengajarkan teknik dasar jalan raya.
4,6,Teknik Jalan Raya,Sipil,"Teknik Jalan Raya adalah cabang teknik sipil yang mempelajari perencanaan, pembangunan, dan pemeliharaan jalan raya.","00:01:00","80",Kursus ini mengajarkan teknik dasar jalan raya.
16,6,Teknik Jalan Raya,Sipil,"Teknik Jalan Raya adalah cabang teknik sipil yang mempelajari perencanaan, pembangunan, dan pemeliharaan jalan raya.","00:01:00","20",Kursus ini mengajarkan teknik dasar jalan raya.
7,7,Pemrograman Java,Informatika,Pemrograman Java adalah bahasa pemrograman yang digunakan untuk mengembangkan aplikasi berbasis Java.,"00:01:00","100",Kursus ini mengajarkan dasar-dasar pemrograman Java.
7,7,Pemrograman Java,Informatika,Pemrograman Java adalah bahasa pemrograman yang digunakan untuk mengembangkan aplikasi berbasis Java.,"00:01:00","80",Kursus ini mengajarkan dasar-dasar pemrograman Java.
16,7,Pemrograman Java,Informatika,Pemrograman Java adalah bahasa pemrograman yang digunakan untuk mengembangkan aplikasi berbasis Java.,"00:01:00","40",Kursus ini mengajarkan dasar-dasar pemrograman Java.
10,7,Pemrograman Java,Informatika,Pemrograman Java adalah bahasa pemrograman yang digunakan untuk mengembangkan aplikasi berbasis Java.,"00:01:00","20",Kursus ini mengajarkan dasar-dasar pemrograman Java.
8,8,Manajemen Proyek Konstruksi,Sipil,"Manajemen Proyek Konstruksi adalah proses merencanakan, mengorganisir, dan mengawasi proyek konstruksi.","00:01:00","60",Kursus ini mengajarkan manajemen proyek konstruksi.
8,8,Manajemen Proyek Konstruksi,Sipil,"Manajemen Proyek Konstruksi adalah proses merencanakan, mengorganisir, dan mengawasi proyek konstruksi.","00:01:00","40",Kursus ini mengajarkan manajemen proyek konstruksi.
4,8,Manajemen Proyek Konstruksi,Sipil,"Manajemen Proyek Konstruksi adalah proses merencanakan, mengorganisir, dan mengawasi proyek konstruksi.","00:01:00","100",Kursus ini mengajarkan manajemen proyek konstruksi.
17,8,Manajemen Proyek Konstruksi,Sipil,"Manajemen Proyek Konstruksi adalah proses merencanakan, mengorganisir, dan mengawasi proyek konstruksi.","00:01:00","60",Kursus ini mengajarkan manajemen proyek konstruksi.
8,8,Manajemen Proyek Konstruksi,Sipil,"Manajemen Proyek Konstruksi adalah proses merencanakan, mengorganisir, dan mengawasi proyek konstruksi.","00:01:00","80",Kursus ini mengajarkan manajemen proyek konstruksi.
9,9,Perawatan Mesin Otomotif,Mesin,Perawatan Mesin Otomotif adalah proses merawat dan memperbaiki mesin kendaraan bermotor.,"00:01:00","20",Kursus ini mengajarkan cara merawat mesin otomotif.
9,9,Perawatan Mesin Otomotif,Mesin,Perawatan Mesin Otomotif adalah proses merawat dan memperbaiki mesin kendaraan bermotor.,"00:01:00","40",Kursus ini mengajarkan cara merawat mesin otomotif.
8,9,Perawatan Mesin Otomotif,Mesin,Perawatan Mesin Otomotif adalah proses merawat dan memperbaiki mesin kendaraan bermotor.,"00:01:00","100",Kursus ini mengajarkan cara merawat mesin otomotif.
10,10,Keamanan Jaringan,Informatika,Keamanan Jaringan adalah proses melindungi jaringan komputer dari berbagai ancaman.,"00:01:00","60",Kursus ini mengajarkan keamanan jaringan komputer.
10,10,Keamanan Jaringan,Informatika,Keamanan Jaringan adalah proses melindungi jaringan komputer dari berbagai ancaman.,"00:01:00","80",Kursus ini mengajarkan keamanan jaringan komputer.
3,10,Keamanan Jaringan,Informatika,Keamanan Jaringan adalah proses melindungi jaringan komputer dari berbagai ancaman.,"00:01:00","80",Kursus ini mengajarkan keamanan jaringan komputer.
11,11,Pengembangan Aplikasi Web dengan PHP,Informatika,Pengembangan aplikasi web menggunakan PHP mencakup berbagai teknik untuk membuat aplikasi web dinamis.,"00:01:00","100",Kursus ini mengajarkan cara mengembangkan aplikasi web menggunakan PHP.
11,11,Pengembangan Aplikasi Web dengan PHP,Informatika,Pengembangan aplikasi web menggunakan PHP mencakup berbagai teknik untuk membuat aplikasi web dinamis.,"00:01:00","80",Kursus ini mengajarkan cara mengembangkan aplikasi web menggunakan PHP.
8,11,Pengembangan Aplikasi Web dengan PHP,Informatika,Pengembangan aplikasi web menggunakan PHP mencakup berbagai teknik untuk membuat aplikasi web dinamis.,"00:01:00","80",Kursus ini mengajarkan cara mengembangkan aplikasi web menggunakan PHP.
12,12,Desain Struktur Beton,Sipil,Desain struktur beton mencakup perhitungan dan teknik untuk membangun struktur beton yang kuat.,"00:01:00","60",Kursus ini mengajarkan desain struktur beton.
3,12,Desain Struktur Beton,Sipil,Desain struktur beton mencakup perhitungan dan teknik untuk membangun struktur beton yang kuat.,"00:01:00","60",Kursus ini mengajarkan desain struktur beton.
18,12,Desain Struktur Beton,Sipil,Desain struktur beton mencakup perhitungan dan teknik untuk membangun struktur beton yang kuat.,"00:01:00","100",Kursus ini mengajarkan desain struktur beton.
12,13,Teknik Mesin Produksi,Mesin,Teknik Mesin Produksi mencakup proses produksi dan perawatan mesin industri.,"00:01:00","40",Kursus ini mengajarkan teknik mesin produksi.
9,13,Teknik Mesin Produksi,Mesin,Teknik Mesin Produksi mencakup proses produksi dan perawatan mesin industri.,"00:01:00","60",Kursus ini mengajarkan teknik mesin produksi.
2,13,Teknik Mesin Produksi,Mesin,Teknik Mesin Produksi mencakup proses produksi dan perawatan mesin industri.,"00:01:00","40",Kursus ini mengajarkan teknik mesin produksi.
13,14,Konfigurasi Jaringan Komputer,Informatika,Konfigurasi Jaringan Komputer mencakup teknik dan alat untuk mengkonfigurasi jaringan secara efektif.,"00:01:00","20",Kursus ini mengajarkan cara mengkonfigurasi jaringan komputer.
2,14,Konfigurasi Jaringan Komputer,Informatika,Konfigurasi Jaringan Komputer mencakup teknik dan alat untuk mengkonfigurasi jaringan secara efektif.,"00:01:00","40",Kursus ini mengajarkan cara mengkonfigurasi jaringan komputer.
13,15,Teknik Pengelasan Lanjutan,Mesin,Teknik Pengelasan Lanjutan mencakup teknik-teknik pengelasan yang lebih kompleks dan spesifik.,"00:01:00","40",Kursus ini mengajarkan teknik pengelasan lanjutan.
